"phoneme","canBeFirst","canBeMid","maleEnding","femaleEnding","outFirst","likedFirst","outMid","likedMid","outMale","likedMale","outFemale","likedFemale"
"mwi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"mwo",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"mwu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"mwy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"my",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"n'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"na",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"nae",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ne",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ni",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"no",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"nt'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"nta",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"nte",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"nti",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"nto",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"ntu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"nty",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"nu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ny",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"o'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"oa",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"oe",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"oi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"on",TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0
"oo",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"oo'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"ou",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"oy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"p'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"pa",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"pe",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ph'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"pha",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"phe",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"phi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"pho",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"phu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"phy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"pi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"pl'",TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0
"pla",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"ple",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"pli",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"plo",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
