"phoneme","canBeFirst","canBeMid","maleEnding","femaleEnding","outFirst","likedFirst","outMid","likedMid","outMale","likedMale","outFemale","likedFemale"
"goo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gr'",TRUE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0
"gra",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"gre",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gré",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gri",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gro",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"groo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gru",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gry",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"guy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gw'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"gwa",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"gway",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"gwe",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gwé",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gwi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gwo",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"gwy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"gy",TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,0,1,0
"h'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"ha",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"hay",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"he",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hé",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hma",FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"hmay",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hme",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hmé",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hmi",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hmu",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hmy",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hn'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"hna",FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"hnay",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hne",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hné",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hni",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hno",FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"hnu",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hny",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ho",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"hoo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hsa",FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"hsay",FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"hse",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hsé",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,0
"hsi",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hso",FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"hsoo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hsu",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hsy",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hta",FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"htay",FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"hte",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hté",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,0
"hti",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hto",FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"htoo",FALSE,TRUE,TRUE,TRUE,0,0,1,0,0,0,0,0
"htu",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hty",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hu",TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,0,0,0
"hva",FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"hvay",FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"hve",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,0
"hvé",FALSE,TRUE,TRUE,TRUE,0,0,1,0,0,0,0,0
"hvi",FALSE,TRUE,TRUE,TRUE,0,0,0,0,1,0,0,0
"hvo",FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"hvoo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hvu",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hvy",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hwa",FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"hway",FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"hwe",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hwé",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hwi",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hwo",FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"hwoo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hwy",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hz'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"hza",FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"hzay",FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"hze",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hzé",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hzi",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hzo",FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"hzoo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hzu",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"hzy",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"i'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"ia",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"iay",TRUE,TRUE,FALSE,TRUE,0,0,0,0,1,0,1,0
"ie",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ié",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"ii",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ii'",TRUE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0
"in",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"io",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"iu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"iy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"j'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"ja",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"jaa",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"jae",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"jaé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,1,0
"jay",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"je",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,0
"jé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,1,0
"jh'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"jha",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"jhay",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"jhe",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"jhé",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,1,0
"jhi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"jho",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"jhoo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"jhu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"jhy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ji",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"jo",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"joo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ju",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"juy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"jy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"k'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"ka",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"kaa",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"kae",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"kaé",TRUE,TRUE,FALSE,TRUE,1,0,0,0,0,0,0,0
"kaé",TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,0,0,0
"kay",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ke",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ké",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"ken",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"kh'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"kha",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"khay",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"khe",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"khé",TRUE,TRUE,TRUE,TRUE,0,0,1,0,0,0,0,0
"khi",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"kho",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"khoo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"khu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"khy",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"ki",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"kl'",TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0
"kla",TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0
"klay",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"kle",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"klé",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"kli",TRUE,TRUE,TRUE,TRUE,1,0,1,0,0,0,0,0
"klo",TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0
"kloo",FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
"klu",TRUE,TRUE,TRUE,TRUE,0,0,0,0,1,0,1,0
"kly",TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0
